Customer Code Unique|Volume Segment|Preferential Segment|City|Region|SR Tracking Code|Channel|Location type
1905|D|1|City 890|SOUTH|888|Channel 1|Location Subtype 1
1906|D|1|City 994|SOUTH|888|Channel 1|Location Subtype 1
1907|D|1|City 654|SOUTH|888|Channel 1|Location Subtype 1
1908|D|1|City 1052|SOUTH|888|Channel 1|Location Subtype 1
1910|D|1|City 1116|SOUTH|888|Channel 1|Location Subtype 1
1911|D|1|City 179|SOUTH|888|Channel 1|Location Subtype 1
1912|D|1|City 988|SOUTH|888|Channel 1|Location Subtype 1
1913|D|1|City 467|SOUTH|888|Channel 1|Location Subtype 1
1914|D|1|City 890|SOUTH|888|Channel 1|Location Subtype 1
1915|D|1|City 699|SOUTH|888|Channel 1|Location Subtype 1
1916|D|1|City 713|SOUTH|888|Channel 1|Location Subtype 1
1917|D|1|City 1069|SOUTH|888|Channel 1|Location Subtype 1
1918|D|1|City 994|SOUTH|888|Channel 1|Location Subtype 1
1919|D|1|City 221|SOUTH|888|Channel 1|Location Subtype 1
1920|D|1|City 742|SOUTH|888|Channel 1|Location Subtype 1
1922|D|1|City 118|SOUTH|888|Channel 1|Location Subtype 1
1923|D|1|City 811|SOUTH|888|Channel 1|Location Subtype 1
1924|D|1|City 913|SOUTH|888|Channel 1|Location Subtype 1
1925|D|1|City 131|SOUTH|888|Channel 1|Location Subtype 1
1926|D|1|City 699|SOUTH|888|Channel 1|Location Subtype 1
1927|D|1|City 994|SOUTH|888|Channel 1|Location Subtype 1
1929|D|1|City 1091|SOUTH|888|Channel 1|Location Subtype 1
1930|D|1|City 777|SOUTH|888|Channel 1|Location Subtype 1
1931|D|1|City 1052|SOUTH|888|Channel 1|Location Subtype 1
1932|D|1|City 1091|SOUTH|888|Channel 1|Location Subtype 1
1933|D|1|City 822|SOUTH|888|Channel 1|Location Subtype 1
1934|D|1|City 609|SOUTH|888|Channel 1|Location Subtype 1
1935|D|1|City 827|SOUTH|888|Channel 1|Location Subtype 1
1936|D|1|City 913|SOUTH|888|Channel 1|Location Subtype 1
1937|D|1|City 1052|SOUTH|888|Channel 1|Location Subtype 1
1938|D|1|City 609|SOUTH|888|Channel 1|Location Subtype 1
1939|D|1|City 890|SOUTH|888|Channel 1|Location Subtype 1
1941|D|1|City 285|SOUTH|888|Channel 1|Location Subtype 1
1943|D|1|City 165|SOUTH|888|Channel 1|Location Subtype 1
